87d280f3 ff7fffff 47d280f2
80800000 ff7fffff 407fffff
bf800000 ff7fffff 7f7fffff
80000000 ff7fffff 00000000
00000000 ff7fffff 80000000
3f800000 ff7fffff ff7fffff
800000 ff7fffff c07fffff
2486afd1 ff7fffff e486afd0
ff7fffff 83e0eff7 43e0eff6
af2165af ca5b6a7c 3a0a551f
80800000 a7e2321a 00000000
bf800000 d4c2df53 54c2df53
80000000 e74dbeba 00000000
00000000 f1d89e22 80000000
3f800000 f62ce9d0 f62ce9d0
800000 9b0d1709 80000000
7bd5d48c 84f95cda c150494b
ff7fffff 80800000 407fffff
a6700a6a 80800000 00000000
80800000 80800000 00000000
bf800000 80800000 800000
80000000 80800000 00000000
00000000 80800000 80000000
3f800000 80800000 80800000
800000 80800000 80000000
7b247948 80800000 bc247948
7f7fffff 80800000 c07fffff
ff7fffff bf800000 7f7fffff
c3407570 bf800000 43407570
80800000 bf800000 800000
bf800000 bf800000 3f800000
80000000 bf800000 00000000
00000000 bf800000 80000000
3f800000 bf800000 bf800000
800000 bf800000 80800000
22881c1a bf800000 a2881c1a
7f7fffff bf800000 ff7fffff
ff7fffff 80000000 00000000
da8e9a2b 80000000 00000000
80800000 80000000 00000000
bf800000 80000000 00000000
80000000 80000000 00000000
00000000 80000000 80000000
3f800000 80000000 80000000
800000 80000000 80000000
39d740d5 80000000 80000000
7f7fffff 80000000 80000000
ff7fffff 00000000 80000000
f4068ecb 00000000 80000000
80800000 00000000 80000000
bf800000 00000000 80000000
80000000 00000000 80000000
00000000 00000000 00000000
3f800000 00000000 00000000
800000 00000000 00000000
5125a591 00000000 00000000
7f7fffff 00000000 00000000
ff7fffff 3f800000 ff7fffff
bb553387 3f800000 bb553387
80800000 3f800000 80800000
bf800000 3f800000 bf800000
80000000 3f800000 80000000
00000000 3f800000 00000000
3f800000 3f800000 3f800000
800000 3f800000 800000
4874ca4c 3f800000 4874ca4c
7f7fffff 3f800000 7f7fffff
ff7fffff 800000 c07fffff
d8900674 800000 99900674
80800000 800000 80000000
bf800000 800000 80800000
80000000 800000 80000000
00000000 800000 00000000
3f800000 800000 800000
800000 800000 00000000
2544f552 800000 00000000
7f7fffff 800000 407fffff
cfdf2b2f 27726eac b7d3574d
80800000 4e16cab9 8f16cab9
bf800000 4a0c749d ca0c749d
80000000 4c971405 80000000
00000000 7b22336c 00000000
3f800000 3461426e 3461426e
800000 7141afa7 3241afa7
4935a0d 7e10210a 4325eb57
7f7fffff e586e76 4e586e75
80800000 7f7fffff c07fffff
bf800000 7f7fffff ff7fffff
80000000 7f7fffff 80000000
00000000 7f7fffff 00000000
3f800000 7f7fffff 7f7fffff
800000 7f7fffff 407fffff
be27ec8 7f7fffff 4be27ec7
92724fb7 ff7fffff 52724fb6
80800000 ff7fffff 407fffff
bf800000 ff7fffff 7f7fffff
80000000 ff7fffff 00000000
00000000 ff7fffff 80000000
3f800000 ff7fffff ff7fffff
800000 ff7fffff c07fffff
726fe95 ff7fffff c726fe94
b9c0b473 fe805a25 78c13c2a
80800000 ad7c4dbc 00000000
bf800000 ba5cbaf5 3a5cbaf5
80000000 9ce85a5c 00000000
00000000 e05e7d18 80000000
3f800000 c4b248c6 c4b248c6
800000 cedec664 8fdec664
76e00b38 c1c9a3c4 f9307822
ff7fffff 80800000 407fffff
b10fd92e 80800000 00000000
80800000 80800000 00000000
bf800000 80800000 800000
80000000 80800000 00000000
00000000 80800000 80000000
3f800000 80800000 80800000
800000 80800000 80000000
50587fd8 80800000 91587fd8
7f7fffff 80800000 c07fffff
ff7fffff bf800000 7f7fffff
90dee3e8 bf800000 10dee3e8
80800000 bf800000 800000
bf800000 bf800000 3f800000
80000000 bf800000 00000000
00000000 bf800000 80000000
3f800000 bf800000 bf800000
800000 bf800000 80800000
6d92d2c6 bf800000 ed92d2c6
7f7fffff bf800000 ff7fffff
ff7fffff 80000000 00000000
b7c220bc 80000000 00000000
80800000 80000000 00000000
bf800000 80000000 00000000
80000000 80000000 00000000
00000000 80000000 80000000
3f800000 80000000 80000000
800000 80000000 80000000
24768f99 80000000 80000000
7f7fffff 80000000 80000000
ff7fffff 00000000 80000000
af114577 00000000 80000000
80800000 00000000 80000000
bf800000 00000000 80000000
80000000 00000000 80000000
00000000 00000000 00000000
3f800000 00000000 00000000
800000 00000000 00000000
5bc5f455 00000000 00000000
7f7fffff 00000000 00000000
ff7fffff 3f800000 ff7fffff
a65fea32 3f800000 a65fea32
80800000 3f800000 80800000
bf800000 3f800000 bf800000
80000000 3f800000 80000000
00000000 3f800000 00000000
3f800000 3f800000 3f800000
800000 3f800000 800000
53141910 3f800000 53141910
7f7fffff 3f800000 7f7fffff
ff7fffff 800000 c07fffff
c32fd538 800000 842fd538
80800000 800000 80000000
bf800000 800000 80800000
80000000 800000 80000000
00000000 800000 00000000
3f800000 800000 800000
800000 800000 00000000
1fe40416 800000 00000000
7f7fffff 800000 407fffff
ff7fffff 1dafa437 ddafa436
da7ef9f3 1d97de55 b89742e0
80800000 53b1665b 94b1665b
bf800000 4091d393 c091d393
80000000 731cf2fb 80000000
00000000 369355b7 00000000
3f800000 1ae6a165 1ae6a165
800000 d139f02 00000000
279d90b8 1ee167f4 70abc2d
7f7fffff 3cddcd6c 7cddcd6b
80800000 7f7fffff c07fffff
bf800000 7f7fffff ff7fffff
80000000 7f7fffff 80000000
00000000 7f7fffff 00000000
3f800000 7f7fffff 7f7fffff
800000 7f7fffff 407fffff
